BTCUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
06/04/2025 08:00,105329.2,106035,105050,105116.8,-212.4,-0.20,
06/04/2025 04:00,105582,105681,105230,105310,-272,-0.26,
06/04/2025 00:00,105392.4,105895,105150,105500,107.6,0.10,
06/03/2025 20:00,106279.7,106319,105300,105452,-827.7,-0.78,
06/03/2025 16:00,106678.9,106743.9,105600,106275.6,-403.3,-0.38,
06/03/2025 12:00,105348,106848,105060,106689,1341,1.26,
06/03/2025 08:00,105220,105411,104860,105348,128,0.12,
06/03/2025 04:00,105539,105583,105130,105239,-300,-0.29,
06/03/2025 00:00,105902.5,106561,105380,105544.7,-357.8,-0.34,
06/02/2025 20:00,104470,105982,104470,105822.8,1352.8,1.28,
06/02/2025 16:00,104491,104777,104068,104476.2,-14.8,-0.01,
06/02/2025 12:00,104070,104707,103709,104480,410,0.39,
06/02/2025 08:00,105400.8,105971,103949.7,104070,-1330.8,-1.28,
06/02/2025 04:00,104870,105464,104650,105420,550,0.52,
06/02/2025 00:00,105701,105764,104630,104870,-831,-0.79,
06/01/2025 20:00,105146.4,105907,104925.3,105660.5,514.1,0.49,
06/01/2025 16:00,104715.5,105340,104370.2,105126.1,410.6,0.39,
06/01/2025 12:00,104110,104843,103811.5,104752.4,642.4,0.61,
06/01/2025 08:00,104320,104506,103780,104110,-210,-0.20,
06/01/2025 04:00,104390.9,104770,104250,104320,-70.9,-0.07,
06/01/2025 00:00,104630,104704,103960,104431.5,-198.5,-0.19,
05/31/2025 20:00,104751,104946,104495,104606.5,-144.5,-0.14,
05/31/2025 16:00,104580,104833,104300,104751,171,0.16,
05/31/2025 12:00,103521,104895,103455.9,104601.2,1080.2,1.03,
05/31/2025 08:00,103780,103853,103323.2,103533,-247,-0.24,
05/31/2025 04:00,103702.5,103947,103491.3,103766.3,63.8,0.06,
05/31/2025 00:00,104008.6,104334,103110,103702.5,-306.1,-0.30,
05/30/2025 20:00,104590,104900.1,103649.5,104033,-557,-0.54,
05/30/2025 16:00,105557.8,105560.6,103630,104590,-967.8,-0.93,
05/30/2025 12:00,105901,106024,105050,105557.8,-343.2,-0.33,
05/30/2025 08:00,105026.3,105996,104580,105900,873.7,0.83,
05/30/2025 04:00,106029.9,106333.7,104720,104990,-1039.9,-0.99,
05/30/2025 00:00,105585,106207,104660,106029.9,444.9,0.42,
05/29/2025 20:00,105738.8,106466.7,105310,105568.8,-170.0,-0.16,
05/29/2025 16:00,107030.5,107176.2,105644.8,105731.8,-1298.7,-1.23,
05/29/2025 12:00,108791,108837,106496,107030.5,-1760.5,-1.64,
05/29/2025 08:00,107899.7,108923,107720,108799.9,900.2,0.83,
05/29/2025 04:00,108072.9,108145,106950,107904.3,-168.6,-0.16,
05/29/2025 00:00,107785.3,108506,107400,108086,300.7,0.28,
05/28/2025 20:00,106960,108082,106750,107810,850,0.79,
05/28/2025 16:00,107139,107870,106850,106960,-179,-0.17,
05/28/2025 12:00,108916.5,109080,107020,107133.9,-1782.6,-1.66,
05/28/2025 08:00,108866,109180,108220,108916.5,50.5,0.05,
05/28/2025 04:00,108760,109133,108500,108873.6,113.6,0.10,
05/28/2025 00:00,108935.8,109308,108330,108866.9,-68.9,-0.06,
05/27/2025 20:00,109935,109946,108600,108935.8,-999.2,-0.92,
05/27/2025 16:00,110050,110545,109490,109935,-115,-0.10,
05/27/2025 12:00,109615.1,110774,108600,110175.9,560.8,0.51,
05/27/2025 08:00,109553,109914,109390,109597.9,44.9,0.04,
05/27/2025 04:00,108903.2,109644.1,108540,109450,546.8,0.50,
05/27/2025 00:00,109467,109705,107530,108901.6,-565.4,-0.52,
05/26/2025 20:00,109083.9,109903,108930,109411.9,328.0,0.30,
05/26/2025 16:00,110051,110410,108830,109141.3,-909.7,-0.83,
05/26/2025 12:00,109720,110418,109490,110040,320,0.29,
05/26/2025 08:00,110000,110200,109480,109832,-168,-0.15,
05/26/2025 04:00,109672.6,110265,109150,110108.5,435.9,0.40,
05/26/2025 00:00,109034.4,109867,108550,109634.9,600.5,0.55,
05/25/2025 20:00,107734.1,109358,107070,109024.9,1290.8,1.18,
05/25/2025 16:00,106989.5,107961,106500,107728.7,739.2,0.69,
05/25/2025 12:00,107253.5,107766,106410,106790,-463.5,-0.43,
05/25/2025 08:00,107710,107725,106480,107241.9,-468.1,-0.44,
05/25/2025 04:00,108140.1,108311,107230,107420,-720.1,-0.67,
05/25/2025 00:00,107798,108285,106990,108122,324,0.30,
05/24/2025 20:00,108978.5,109158,107300,107798,-1180.5,-1.10,
05/24/2025 16:00,108820,109225,108590,108730,-90,-0.08,
05/24/2025 12:00,109205.5,109303,108480,108945.6,-259.9,-0.24,
05/24/2025 08:00,107617,109502.9,107390,109209.1,1592.1,1.46,
05/24/2025 04:00,108190,108589.9,107380,107390,-800,-0.74,
05/24/2025 00:00,107200,108393,106790,108390,1190,1.10,
05/23/2025 20:00,108610,108760,106710,107335,-1275,-1.19,
05/23/2025 16:00,108850,109836,107980,108610,-240,-0.22,
05/23/2025 12:00,109043.9,110023,107280,108850,-193.9,-0.18,
05/23/2025 08:00,110711.3,111355,108780,108980,-1731.3,-1.59,
05/23/2025 04:00,111040,111180,110300,110711.3,-328.7,-0.30,
05/23/2025 00:00,111742,111813,111000,111110,-632,-0.57,
05/22/2025 20:00,111100,111745,110670,111701.5,601.5,0.54,
05/22/2025 16:00,111325,111996,110880,111090,-235,-0.21,
05/22/2025 12:00,110985,111622,110500,111284.9,299.9,0.27,
05/22/2025 08:00,111057.4,111306.3,110240,110988.2,-69.2,-0.06,
05/22/2025 04:00,111738.6,111790,110450,111020,-718.6,-0.65,
05/22/2025 00:00,109686,111879,109207.7,111738.6,2052.6,1.84,
05/21/2025 20:00,108610,110697.9,107720,109677,1067,0.97,
05/21/2025 16:00,109024,109853,106190,108691,-333,-0.31,
05/21/2025 12:00,106582,109496.6,106280,108975,2393,2.20,
05/21/2025 08:00,106557,106835,106020,106532.9,-24.1,-0.02,
05/21/2025 04:00,106832.6,108032,106400,106559,-273.6,-0.26,
05/21/2025 00:00,106740,107231,106140,106832.6,92.6,0.09,
05/20/2025 20:00,107016.1,107338,105900,106855.5,-160.6,-0.15,
05/20/2025 16:00,105348.7,107281,105030,107026.8,1678.1,1.57,
05/20/2025 12:00,105210.3,105413,104120,105359,148.7,0.14,
05/20/2025 08:00,105014.1,105413,104820,105120,105.9,0.10,
05/20/2025 04:00,105680,106417,104840,105068,-612,-0.58,
05/20/2025 00:00,105610,106845,105480,105749.7,139.7,0.13,
05/19/2025 20:00,105470,105841,104980,105568.1,98.1,0.09,
05/19/2025 16:00,104799.9,105594,104470,105586,786.1,0.74,
05/19/2025 12:00,102982,104987,102130,104799.9,1817.9,1.73,
05/19/2025 08:00,103248,103409,102790,102971,-277,-0.27,
05/19/2025 04:00,103639,103792,102020,103226.1,-412.9,-0.40,
05/19/2025 00:00,106460,107104,103520,103612,-2848,-2.75,
05/18/2025 20:00,103910,106634,103300,106463,2553,2.40,
05/18/2025 16:00,105522,105972.4,103860.6,103919,-1603,-1.54,
05/18/2025 12:00,103830,105676,103680,105533,1703,1.61,
05/18/2025 08:00,103946,104093,103760,103825,-121,-0.12,
05/18/2025 04:00,103258,103981,103258,103946,688,0.66,
05/18/2025 00:00,103160,103433.6,103125,103323,163,0.16,
05/17/2025 20:00,103113.9,103495,102927.8,103163,49.1,0.05,
05/17/2025 16:00,102971,103371,102750,103192,221,0.21,
05/17/2025 12:00,103006.4,103198,102660,102988,-18.4,-0.02,
05/17/2025 08:00,103476,103570,102750,103004.1,-471.9,-0.46,
05/17/2025 04:00,103534,103719,103290,103476,-58,-0.06,
05/17/2025 00:00,103481.3,103593,102620,103534,52.7,0.05,
05/16/2025 20:00,104069,104079,103400,103481.3,-587.7,-0.57,
05/16/2025 16:00,104221,104569,103588,104096,-125,-0.12,
05/16/2025 12:00,103706,104293,103300,104222,516,0.50,
05/16/2025 08:00,103734,103941,103100,103702,-32,-0.03,
05/16/2025 04:00,104023.1,104214,103733,103734,-289.1,-0.28,
05/16/2025 00:00,103792,104456,103460,104022.6,230.6,0.22,
05/15/2025 20:00,103170,103971.8,102721,103792,622,0.60,
05/15/2025 16:00,103258.8,104185,102570,103183,-75.8,-0.07,
05/15/2025 12:00,102381.7,103301,101430,103260.5,878.8,0.85,
05/15/2025 08:00,101797,102445,101540,102390,593,0.58,
05/15/2025 04:00,102772,102977,101721.9,101798,-974,-0.96,
05/15/2025 00:00,103520,103892,102730,102779,-741,-0.72,
05/14/2025 20:00,103290,103677,103290,103589.6,299.6,0.29,
05/14/2025 16:00,103541,103733,102580,103324,-217,-0.21,
05/14/2025 12:00,103943,104356,102870,103505.4,-437.6,-0.42,
05/14/2025 08:00,103709.9,104131,102890,103943,233.1,0.22,
05/14/2025 04:00,103572.7,103982.9,103400,103709,136.3,0.13,
05/14/2025 00:00,104124,104135.9,103430,103574.6,-549.4,-0.53,
05/13/2025 20:00,104810,104968,103930,104122,-688,-0.66,
05/13/2025 16:00,103689.7,104996,103550,104825,1135.3,1.08,
05/13/2025 12:00,103717.6,103967,102860,103689.7,-27.9,-0.03,
05/13/2025 08:00,102668,103837,102542,103710,1042,1.00,
05/13/2025 04:00,101713,102940,101599,102668,955,0.93,
05/13/2025 00:00,102825,102850,101450,101704.4,-1120.6,-1.10,
05/12/2025 20:00,101843,103140,101779,102825,982,0.96,
05/12/2025 16:00,102523,103094,100764,101900,-623,-0.61,
05/12/2025 12:00,103765,104614,102390,102520,-1245,-1.21,
05/12/2025 08:00,104459.9,104741,103632.3,103765,-694.9,-0.67,
05/12/2025 04:00,104089.1,105726.1,103720,104469,379.9,0.36,
05/12/2025 00:00,104118.9,105050,103660,104040,-78.9,-0.08,
05/11/2025 20:00,104403,104581,103560,104143,-260,-0.25,
05/11/2025 16:00,104148.9,104820,103700,104360,211.1,0.20,
05/11/2025 12:00,104657,104883,103730,104163.8,-493.2,-0.47,
05/11/2025 08:00,103401.9,104750,103340,104657,1255.1,1.20,
05/11/2025 04:00,104023.9,104403,103310,103401.9,-622.0,-0.60,
05/11/2025 00:00,104750,104958,103450,104054,-696,-0.67,
05/10/2025 20:00,103190.4,104981,103020,104808,1617.6,1.54,
05/10/2025 16:00,103156,103619,102900,103184.5,28.5,0.03,
05/10/2025 12:00,103426.3,103840,103030,103135.7,-290.6,-0.28,
05/10/2025 08:00,103777,104078,103310,103310,-467,-0.45,
05/10/2025 04:00,103199.9,104092,103025.5,103758.9,559.0,0.54,
05/10/2025 00:00,102974.7,103279,102800,103199.9,225.2,0.22,
05/09/2025 20:00,103229,103444,102720,102970.6,-258.4,-0.25,
05/09/2025 16:00,102880,103385,102341.2,103226,346,0.34,
05/09/2025 12:00,102940,103790,102422.7,102882.3,-57.7,-0.06,
05/09/2025 08:00,103670,103970,102437,102976.7,-693.3,-0.67,
05/09/2025 04:00,102433,104331,102363,103680,1247,1.20,
05/09/2025 00:00,103227.9,103270,102351.3,102432,-795.9,-0.78,
05/08/2025 20:00,101320,104150,101269.9,103227.9,1907.9,1.85,
05/08/2025 16:00,100790,101770,100589.9,101320,530,0.52,
05/08/2025 12:00,99397.5,101580,99103,100768.8,1371.3,1.36,
05/08/2025 08:00,99282,99891,99239.2,99472,190,0.19,
05/08/2025 04:00,99157.9,99471,98735,99282,124.1,0.12,
05/08/2025 00:00,97053,99240,96892,99149.7,2096.7,2.11,
05/07/2025 20:00,96186.9,97479,96083,97053,866.1,0.89,
05/07/2025 16:00,96919.8,97044,95823,96204.9,-714.9,-0.74,
05/07/2025 12:00,97011.4,97550,96724,96919.8,-91.6,-0.09,
05/07/2025 08:00,96953.1,97206,96833,97020.9,67.8,0.07,
05/07/2025 04:00,96486.7,97117,96312,96971.8,485.1,0.50,
05/07/2025 00:00,96827.4,97807,96209.6,96486.7,-340.7,-0.35,
05/06/2025 20:00,95136,96998,94476,96816.6,1680.6,1.74,
05/06/2025 16:00,94536.9,95315,94200,95136,599.1,0.63,
05/06/2025 12:00,93798,94948,93378,94536,738,0.78,
05/06/2025 08:00,94377.3,94599,93706.9,93804.6,-572.7,-0.61,
05/06/2025 04:00,94447.8,94814,94292,94377.3,-70.5,-0.07,
05/06/2025 00:00,94726.9,95128,94023,94440.1,-286.8,-0.30,
05/05/2025 20:00,94345,95407,93875.3,94726.9,381.9,0.40,
05/05/2025 16:00,93719.5,95128,93719.5,94327,607.5,0.64,
05/05/2025 12:00,94454,94818,93609.7,94012,-442,-0.47,
05/05/2025 08:00,94738.8,95028,93829.2,94023.9,-714.9,-0.76,
05/05/2025 04:00,94046.2,95068,94023,94762,715.8,0.76,
05/05/2025 00:00,94303,95088,93524,94046.2,-256.8,-0.27,
05/04/2025 20:00,95582,95925,94153.3,94301,-1281,-1.36,
05/04/2025 16:00,95475,95828,95268,95594,119,0.12,
05/04/2025 12:00,95433.5,95883,95250,95695,261.5,0.27,
05/04/2025 08:00,95900,96089,95315,95430,-470,-0.49,
05/04/2025 04:00,95745,96269,95720,95899,154,0.16,
05/04/2025 00:00,95870.4,96438,95632,95948,77.6,0.08,
05/03/2025 20:00,96380.7,96538,95785.9,95869.8,-510.9,-0.53,
05/03/2025 16:00,96430.4,96515,95927,96380.7,-49.7,-0.05,
05/03/2025 12:00,95939.8,96598,95884.7,96443,503.2,0.52,
05/03/2025 08:00,96357.9,96494,95884.3,96181,-176.9,-0.18,
05/03/2025 04:00,96415,96619,96153.7,96435,20,0.02,
05/03/2025 00:00,96914.9,96955,96344.2,96410.1,-504.8,-0.52,
05/02/2025 20:00,96956.9,97175,96579,96914.3,-42.6,-0.04,
05/02/2025 16:00,97379.2,97836,96800,96957.8,-421.4,-0.43,
05/02/2025 12:00,96953.1,97931,96664,97363,409.9,0.42,
05/02/2025 08:00,96381,97118,96365.6,96928,547,0.56,
05/02/2025 04:00,97112.5,97305,96352.9,96381,-731.5,-0.76,
05/02/2025 00:00,96469.8,97247,96461.9,97135,665.2,0.68,
05/01/2025 20:00,96570,96939,96208,96535,-35,-0.04,
05/01/2025 16:00,96918,97432,96431.9,96575,-343,-0.36,
05/01/2025 12:00,96169.7,97473,95852,96897,727.3,0.75,
05/01/2025 08:00,95041,96458,94901.2,96170.1,1129.1,1.17,
05/01/2025 04:00,94873,95265,94725,95019.6,146.6,0.15,
05/01/2025 00:00,94180,95099,94126.3,94779.9,599.9,0.63,
04/30/2025 20:00,94158,94882,94029,94180,22,0.02,
04/30/2025 16:00,94005.5,94687,93535,94141,135.5,0.14,
04/30/2025 12:00,95202,95239,92946,94180,-1022,-1.09,
04/30/2025 08:00,94635,95255,94513.6,95194.2,559.2,0.59,
04/30/2025 04:00,95044.8,95285,94508.7,94710,-334.8,-0.35,
04/30/2025 00:00,94269.6,95232,94138.9,95044.8,775.2,0.82,
04/29/2025 20:00,95359,95443,93768.8,94426,-933,-0.99,
04/29/2025 16:00,94864.2,95525,94681,95309.4,445.2,0.47,
04/29/2025 12:00,95159.8,95324,94589,94861.2,-298.6,-0.31,
04/29/2025 08:00,94990,95370,94784.51,95159.8,169.8,0.18,
04/29/2025 04:00,94684,95041,94234.3,94956.23,272.23,0.29,
04/29/2025 00:00,94998.0,95498.0,94482.9,94662.3,-335.7,-0.35,
04/28/2025 20:00,94794.1,95228.0,94304.2,94998.0,203.9,0.21,
04/28/2025 16:00,93842.9,94984.0,93483.4,94887.0,1044.1,1.10,
04/28/2025 12:00,95353.0,95632.0,93372.0,93908.0,-1445.0,-1.54,
04/28/2025 08:00,94707.8,95568.3,94394.3,95354.0,646.2,0.68,
04/28/2025 04:00,94006.0,94868.0,93880.2,94707.8,701.8,0.74,
04/28/2025 00:00,93777.0,94127.0,92846.0,93874.0,97.0,0.10,
04/27/2025 20:00,94438.5,94565.0,93697.0,93776.0,-662.5,-0.71,
04/27/2025 16:00,93925.2,94473.0,93722.5,94438.5,513.3,0.54,
